Source_Name RAJ2000 DEJ2000 Redshift SpectrumType Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_beta SED_class
J0001.2+4741 0.3125999867916107 47.6859016418457 -inf PowerLaw 2514.941650390625 1.9206343329983278e-14 2.2221548557281494 1.8935309727520847e-14 2.2337143421173096 -0.008456560783088207 ISP
J0001.2-0747 0.3151000142097473 -7.797100067138672 -inf PowerLaw 1612.6141357421875 3.346565646128452e-13 2.104942798614502 3.5833494374873376e-13 2.0718932151794434 0.048769861459732056 LSP
J0001.5+2113 0.3815000057220459 21.218299865722656 1.106 LogParabola 355.784423828125 3.9051106098808575e-11 2.6593079566955566 4.532746053498293e-11 2.5481505393981934 0.15877607464790344 ISP
J0001.6-4156 0.4165000021457672 -41.942501068115234 -inf PowerLaw 4009.3837890625 2.075704212190551e-14 1.7558894157409668 2.3474045989890606e-14 1.667587161064148 0.06975477933883667 HSP
J0002.1-6728 0.5378000140190125 -67.47460174560547 -inf PowerLaw 3689.189453125 1.8744873004055557e-14 1.8464690446853638 2.3711413420831468e-14 1.6778738498687744 0.16372890770435333 ""
J0002.3-0815 0.5936999917030334 -8.265199661254883 -inf PowerLaw 3959.91259765625 7.56400506601385e-15 1.9895957708358765 9.510118319472176e-15 1.9282346963882446 0.1501258909702301 LSP
J0002.4-5156 0.613099992275238 -51.93550109863281 -inf PowerLaw 4530.31005859375 3.954718903699181e-15 1.8971610069274902 6.365719837510926e-15 1.3496544361114502 0.6414554119110107 ""
J0003.1-5248 0.7817000150680542 -52.807098388671875 -999.0 PowerLaw 3772.391845703125 2.3296883966774685e-14 1.875063180923462 2.551908168015992e-14 1.8100780248641968 0.05651086941361427 ""
J0003.2+2207 0.8058000206947327 22.130199432373047 0.09983 PowerLaw 2572.911376953125 2.032628521064523e-14 2.210458993911743 2.4485845480110707e-14 0.7698702812194824 0.9996891617774963 LSP
J0003.3-1928 0.8464999794960022 -19.467599868774414 -inf LogParabola 953.7988891601562 4.970213151635205e-13 2.2775728702545166 6.135521778138919e-13 2.058441162109375 0.24640358984470367 LSP
J0003.3-5905 0.8482999801635742 -59.09519958496094 -inf PowerLaw 1040.6666259765625 1.7268617904988431e-13 2.4606173038482666 1.622357169396224e-13 2.50307559967041 -0.04512809216976166 ""
J0003.9-1149 0.9986000061035156 -11.82509994506836 1.30999 LogParabola 1677.4373779296875 1.0823423591838771e-13 2.087108612060547 1.464612936138976e-13 1.9320688247680664 0.2711872160434723 LSP
J0004.0+0840 1.0073000192642212 8.675700187683105 2.057129 PowerLaw 2554.3271484375 2.969868952542101e-14 2.0353150367736816 4.5140106930130486e-14 1.6673219203948975 0.469106525182724 ISP
J0004.3+4614 1.075700044631958 46.242698669433594 1.81 PowerLaw 917.1227416992188 4.776885809652798e-13 2.5849690437316895 5.144357162478741e-13 2.5269711017608643 0.06729237735271454 LSP
J0004.4-4737 1.1090999841690063 -47.62329864501953 0.88 PowerLaw 915.582763671875 7.345598196546732e-13 2.3655600547790527 8.158236456182189e-13 2.304285764694214 0.09203691780567169 LSP
J0005.9+3824 1.4986000061035156 38.4010009765625 0.229 LogParabola 450.0627136230469 6.274868645517184e-12 2.6721155643463135 7.464893286845964e-12 2.5520496368408203 0.1899041086435318 LSP
J0006.3-0620 1.5992000102996826 -6.349299907684326 0.347 PowerLaw 2162.208251953125 3.071610145594962e-14 2.1278440952301025 3.924752910904397e-14 2.10563063621521 0.16953454911708832 LSP
J0006.4+0135 1.6094000339508057 1.5981999635696411 0.787 PowerLaw 2602.171875 2.262946774411745e-14 2.052466869354248 3.05231439624333e-14 1.7409216165542603 0.32114386558532715 ISP
J0007.7+4008 1.9275000095367432 40.13399887084961 -inf PowerLaw 1869.571533203125 1.216174649052229e-13 2.1588902473449707 1.4444757781388595e-13 1.942565679550171 0.1794585883617401 ""
J0008.0+4711 2.0023999214172363 47.19499969482422 -999.0 LogParabola 1362.5606689453125 1.0761380935669917e-12 2.047048807144165 1.1630223693825936e-12 1.9286298751831055 0.0791311115026474 LSP
J0008.0-3937 2.0048000812530518 -39.63199996948242 -inf PowerLaw 815.852783203125 3.996178117148669e-13 2.583237409591675 5.648503583269293e-13 2.5210015773773193 0.40689361095428467 LSP
J0008.4-2339 2.1110000610351562 -23.651399612426758 0.147 PowerLaw 6562.02197265625 5.03028938693569e-15 1.6560616493225098 7.260525019473895e-15 1.34911048412323 0.2781689763069153 ""
J0008.4+1455 2.1245999336242676 14.923199653625488 -inf PowerLaw 2117.6416015625 7.850509386444701e-14 2.091193914413452 9.467693149649639e-14 1.9389115571975708 0.1600625067949295 ""
