Source_Name,SpectrumType,Pivot_Energy,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,SED_class
J2022.3-4513,LogParabola      ,1016.07544,9.200639e-13,2.1522417,1.0212042e-12,2.021216,0.101511486,ISP
J2022.5+7612,PowerLaw         ,1333.0262,8.449658e-13,2.268634,8.840178e-13,2.2411854,0.03504522,LSP
J2023.2+3153,PowerLaw         ,5901.8174,1.833601e-14,2.0617332,1.9490872e-14,2.0556533,0.03969454,LSP
J2023.4+4127,PowerLaw         ,3768.1978,7.658446e-14,2.2306736,9.221123e-14,2.1936011,0.15672962,
J2023.6-1139,LogParabola      ,1231.9426,7.9038094e-13,2.1108837,9.103681e-13,1.9616835,0.13029116,LSP
J2023.6-0123,LogParabola      ,1325.112,3.1476685e-13,2.2454438,4.4211499e-13,2.014217,0.3689652,LSP
J2023.8-4828,PowerLaw         ,2480.3801,2.0558296e-14,2.1099908,2.2587436e-14,1.9989408,0.06948771,ISP
J2024.4-0847,PowerLaw         ,3005.0403,6.286181e-14,2.0086782,6.754984e-14,1.9456744,0.05262584,ISP
J2024.6-3252,LogParabola      ,597.3164,4.1100504e-12,2.4765327,4.769432e-12,2.3523045,0.14912379,LSP
J2024.7-2328,PowerLaw         ,2589.1045,3.2774236e-14,2.0761364,4.294004e-14,1.9499949,0.2083747,
J2024.8-6459,PowerLaw         ,1137.834,2.3219564e-13,2.4097335,2.4563107e-13,2.3945472,0.037865553,LSP
J2025.2+0317,PowerLaw         ,1558.3556,4.3829588e-13,2.17633,4.8990976e-13,2.1257455,0.07635172,LSP
J2025.3-2231,PowerLaw         ,3966.2432,1.7125095e-14,1.9119576,1.9373529e-14,1.8694838,0.06952065,LSP
J2025.3+3341,LogParabola      ,1251.3992,1.687497e-12,2.6313484,2.1533279e-12,2.727877,0.17841819,LSP
J2025.6-0735,LogParabola      ,580.45544,3.804297e-11,2.2898736,4.1836062e-11,2.1893413,0.09385734,LSP
J2026.0-2845,PowerLaw         ,713.8023,6.5236076e-13,2.578417,7.8003223e-13,2.4240444,0.16884694,LSP
J2026.1+7645,PowerLaw         ,10617.214,1.7489645e-15,1.661071,2.3846015e-15,1.5378773,0.17454214,ISP
J2026.6+3449,PowerLaw         ,3736.9524,4.1668603e-14,2.2231455,4.4003467e-14,2.2017894,0.039015107,
J2029.1-1839,PowerLaw         ,1608.4868,9.298507e-14,2.282076,1.2757491e-13,2.1061435,0.3008218,
J2029.5+4925,LogParabola      ,1019.0325,1.884384e-12,2.4641173,2.4481459e-12,2.2301373,0.3008465,LSP
J2030.2-0620,PowerLaw         ,1332.7598,2.0502931e-13,2.403819,1.915633e-13,2.4305546,-0.047349352,LSP
J2030.4-0502,PowerLaw         ,3559.525,1.1276337e-14,2.002924,1.2015898e-14,1.9381306,0.05305124,LSP
J2030.5-1439,PowerLaw         ,4689.6567,1.0479029e-14,1.8650532,1.0966365e-14,1.8173004,0.02990552,
J2030.8-6959,PowerLaw         ,1968.986,4.140336e-14,2.2001176,4.5428766e-14,2.1066914,0.074130215,
J2030.9-1621,PowerLaw         ,2542.3545,3.6133206e-14,2.1106176,3.799185e-14,2.0649588,0.037154872,ISP
J2030.9+1935,LogParabola      ,2671.8403,1.08488854e-13,1.8705647,1.3022699e-13,1.652372,0.15761933,HSP
J2031.1-2615,PowerLaw         ,1821.7803,8.501185e-14,2.140581,1.1522085e-13,2.0073977,0.24632278,LSP
J2031.2-4121,LogParabola      ,1567.3538,1.01933395e-13,2.3035977,1.6675605e-13,2.2809556,0.52116275,
J2031.8+1619,PowerLaw         ,1083.0092,2.1105127e-13,2.4562178,2.499971e-13,2.414405,0.11676385,ISP
J2032.0+1219,PowerLaw         ,1424.9269,2.9045432e-13,2.414479,3.2992906e-13,2.3274813,0.12588274,LSP
J2033.7+6308,LogParabola      ,6537.116,5.6509443e-15,1.8457297,9.539363e-15,1.7408891,0.42335516,LSP
J2034.6+1154,PowerLaw         ,1226.5603,5.806977e-13,2.5398796,6.5352156e-13,2.4787064,0.13717791,LSP
J2034.8-4200,PowerLaw         ,3534.054,2.8213578e-14,1.9121243,3.3855697e-14,1.7781391,0.13711448,HSP
J2034.9-0450,PowerLaw         ,1529.4329,1.3177724e-13,2.2857003,1.5704538e-13,2.1731663,0.14838935,LSP
J2035.4+1056,LogParabola      ,750.0108,1.2687061e-11,2.390672,1.4309601e-11,2.3145413,0.12363977,LSP
J2035.9+4901,PowerLaw         ,4418.841,3.69597e-14,2.025264,4.2899258e-14,1.9093904,0.112685956,
J2036.4+6553,LogParabola      ,2258.2292,1.216663e-13,2.0495775,1.4576822e-13,1.9205296,0.14898965,ISP
J2036.9-3329,PowerLaw         ,6512.8086,7.9334554e-15,1.72566,9.608934e-15,1.2219082,0.24851938,ISP
J2037.9-0504,PowerLaw         ,3444.7073,1.4473393e-14,1.9857854,1.8001463e-14,1.7050507,0.22653882,
J2038.7+5117,LogParabola      ,1005.0778,1.3592573e-12,2.5731895,1.774163e-12,2.3532665,0.30768123,LSP
J2039.0-1046,LogParabola      ,1018.5268,2.0554305e-12,2.0848374,2.2625062e-12,1.9559639,0.093200594,LSP
J2039.3+2150,PowerLaw         ,962.6108,3.2471345e-13,2.4786,4.4593113e-13,2.3412824,0.27376232,LSP
J2039.5+5218,PowerLaw         ,6692.857,1.20932e-14,1.8391286,1.3195734e-14,1.7976846,0.047916915,HSP
J2040.0-5737,PowerLaw         ,1220.2737,2.8334377e-13,2.402689,2.9910712e-13,2.3885686,0.03671641,LSP
J2040.1-4621,PowerLaw         ,4843.6763,9.555213e-15,1.757257,1.1957109e-14,1.6178818,0.13713601,
J2040.2-7115,PowerLaw         ,5186.5176,1.8517e-14,1.7119266,2.0506903e-14,1.6428374,0.055416334,
J2040.2-2506,PowerLaw         ,954.223,3.3903292e-13,2.4552956,3.924177e-13,2.3596458,0.14306095,
J2040.5-1705,PowerLaw         ,772.3581,1.222625e-12,2.5412178,1.1758591e-12,2.5530229,-0.026695877,LSP
J2041.8-7319,PowerLaw         ,4789.168,1.0360333e-14,1.8715268,1.1889204e-14,1.7190408,0.10671346,HSP
J2041.9-3735,PowerLaw         ,3147.6367,2.978374e-14,1.9651462,2.9419657e-14,1.9712439,-0.0073544984,HSP
J2042.1+2427,PowerLaw         ,3777.096,3.5859685e-14,1.9133356,3.7040893e-14,1.8987356,0.016664363,HSP
J2042.6+1629,PowerLaw         ,4882.308,9.1513965e-15,1.952163,1.1151467e-14,1.7040206,0.19421783,
J2042.7-5415,LogParabola      ,1597.591,1.0147051e-13,2.2622461,1.9436834e-13,2.1875656,0.99999774,
J2042.7-0155,PowerLaw         ,1343.8862,1.3549555e-13,2.314594,1.5282022e-13,2.285757,0.09165059,
J2043.7+0000,PowerLaw         ,1587.7118,1.2376741e-13,2.270394,1.2928382e-13,2.2604644,0.027288739,
J2044.0+1036,PowerLaw         ,2452.9253,3.3850808e-14,2.179696,4.0520477e-14,0.7064997,0.9999826,ISP
J2045.1-2346,PowerLaw         ,2687.6826,3.7424067e-14,2.0192695,4.2244928e-14,1.9321226,0.087368876,ISP
J2046.6-1012,PowerLaw         ,3294.4653,1.9963193e-14,1.9485784,2.2453285e-14,1.9079016,0.074303515,HSP
J2046.8-4258,PowerLaw         ,1921.4612,5.588611e-14,2.1344414,7.404771e-14,1.8902122,0.27508476,
J2047.1-7400,PowerLaw         ,760.477,3.8749153e-13,2.6502583,4.116335e-13,2.6075153,0.051714282,LSP
J2047.9-3122,PowerLaw         ,2577.148,3.9908726e-14,2.04513,4.733354e-14,1.945057,0.12185899,
J2048.6-6804,PowerLaw         ,1976.5104,9.20229e-14,2.1672108,9.784391e-14,2.1327724,0.041414924,ISP
J2049.0+1647,PowerLaw         ,2425.2349,3.9519725e-14,2.217257,4.1061416e-14,2.2093606,0.023381714,
J2049.7-0036,PowerLaw         ,18745.232,3.431908e-16,1.5354745,2.990259e-16,1.5368634,-0.04159717,
J2049.9+1002,LogParabola      ,640.3386,3.77384e-12,2.5030174,4.360233e-12,2.3943548,0.14625742,LSP
J2049.9-2453,PowerLaw         ,1679.475,6.0882655e-14,2.3468466,8.648935e-14,2.053941,0.56652397,ISP
J2050.0+0408,PowerLaw         ,1200.71,6.27124e-13,2.2859023,6.3139354e-13,2.2826166,0.0041609886,LSP
J2050.4-2627,LogParabola      ,1248.4052,3.72303e-13,2.2193902,4.4865137e-13,2.0563576,0.17791216,LSP
J2052.2-5533,PowerLaw         ,965.6358,1.5403193e-12,2.301251,1.678072e-12,2.255082,0.069616474,
J2052.5+0810,PowerLaw         ,18747.271,3.2683e-16,1.492322,7.65398e-16,0.8784185,0.9971886,
J2053.8+2922,LogParabola      ,4763.389,4.2061437e-14,1.7206376,5.6031914e-14,1.4511334,0.21398298,HSP
J2054.0+7024,PowerLaw         ,3087.933,1.5100724e-14,2.2369728,1.4521755e-14,2.2408094,-0.015580001,LSP
J2054.5+4731,PowerLaw         ,8317.835,4.3609695e-15,1.9259098,4.627821e-15,1.8812925,0.041307237,
J2054.8+0015,PowerLaw         ,5655.568,8.460736e-15,1.8172979,8.353593e-15,1.8207995,-0.0038049265,LSP
J2055.4-0020,PowerLaw         ,4709.4395,1.6044266e-14,1.8420897,1.8155089e-14,1.7433474,0.079952285,HSP
J2055.4-0504,PowerLaw         ,1629.2277,6.877191e-14,2.2646577,7.603328e-14,2.2454314,0.06706143,ISP
J2055.8+1545,PowerLaw         ,1173.2518,2.1437519e-13,2.3969536,2.77001e-13,2.4542959,0.2156376,
J2056.2-4714,LogParabola      ,447.9735,4.919323e-11,2.4534748,5.4418997e-11,2.3529332,0.10737585,LSP
J2056.4-4904,PowerLaw         ,720.02203,4.738752e-13,2.6965547,7.533672e-13,2.2899323,0.94279903,
J2056.5-0202,PowerLaw         ,717.2616,1.3124153e-12,2.5173972,1.527922e-12,2.4423416,0.13075626,LSP
J2056.7-3209,PowerLaw         ,680.22095,7.1183136e-13,2.6068685,7.9434555e-13,2.5804904,0.07755236,LSP
J2056.7+4939,PowerLaw         ,6124.8066,5.458847e-14,1.8618381,5.802831e-14,1.8314056,0.033673357,HSP
J2057.4-0723,PowerLaw         ,449.87222,3.2848262e-12,2.7720644,3.7904463e-12,2.679825,0.13896964,LSP
J2058.8-1442,PowerLaw         ,4175.4463,8.490183e-15,1.9969767,7.631564e-15,2.057539,-0.05318877,
J2100.0+2103,PowerLaw         ,1151.3619,2.2166656e-13,2.4265585,2.5850028e-13,2.3193982,0.13192235,LSP
J2101.3+0912,PowerLaw         ,3137.4458,1.9134872e-14,2.0617325,1.724989e-14,2.1005194,-0.048616283,
J2101.4-2935,PowerLaw         ,406.16653,4.5722996e-12,2.8067174,5.545671e-12,2.7219713,0.18220875,
J2102.3+4702,PowerLaw         ,2486.9631,2.5120121e-13,2.258707,2.6912378e-13,2.1967456,0.06050138,LSP
J2103.0+0342,PowerLaw         ,942.93994,4.029157e-13,2.473265,4.3463616e-13,2.453942,0.05772254,LSP
J2103.2-2114,PowerLaw         ,2023.581,4.265436e-14,2.2034974,4.5168432e-14,2.166512,0.038297553,
