Source_Name,SpectrumType,Pivot_Energy,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,SED_class
J0900.7-1243,PowerLaw         ,1363.5167,2.1637767e-13,2.2782507,2.242008e-13,2.262723,0.023880342,ISP
J0901.4+4542,PowerLaw         ,1796.7408,2.42182e-14,2.26933,4.8518e-14,1.7811385,0.99900717,ISP
J0902.4+2051,PowerLaw         ,1387.0759,7.6525223e-13,2.145069,7.9890874e-13,2.1110237,0.03275006,ISP
J0904.0+2724,PowerLaw         ,396.79605,4.1177946e-12,2.7927804,4.858485e-12,2.686605,0.17430644,ISP
J0906.2-1707,PowerLaw         ,3772.614,1.0439916e-14,2.0044978,1.36183e-14,1.8867924,0.18930192,ISP
J0908.9+2311,PowerLaw         ,4683.6836,2.4344708e-14,1.8224957,2.831174e-14,1.6907523,0.10574268,ISP
J0910.6+3329,PowerLaw         ,2736.977,1.9001998e-13,1.9488374,2.0233366e-13,1.9020212,0.04585201,ISP
J0920.9-2256,PowerLaw         ,5282.4062,7.2704726e-15,1.81134,1.0116838e-14,1.4304059,0.34379113,ISP
J0921.7+2336,PowerLaw         ,2161.7466,7.92223e-14,2.06159,7.9343155e-14,2.059206,0.0020304653,ISP
J0925.7+5959,PowerLaw         ,3097.532,1.7275215e-14,1.9591342,1.8565422e-14,1.8989785,0.04842618,ISP
J0928.5+4048,PowerLaw         ,2355.132,3.5378472e-14,2.0782385,3.957367e-14,1.9858843,0.09841543,ISP
J0932.7+1041,PowerLaw         ,3271.6611,1.6724828e-14,1.9468176,2.3139802e-14,1.7492133,0.26112583,ISP
J0934.5-1720,PowerLaw         ,4722.4717,8.596702e-15,1.9393458,9.787954e-15,1.9448596,0.065240994,ISP
J0935.3-1736,PowerLaw         ,6084.586,9.936912e-15,1.8120775,1.1627668e-14,1.7301795,0.10403607,ISP
J0936.5+1847,PowerLaw         ,2184.361,4.9796125e-14,2.0702279,5.8567856e-14,1.8908066,0.14973013,ISP
J0937.9-1434,PowerLaw         ,3062.5906,3.0954412e-14,1.9797237,3.7010735e-14,1.8687172,0.13782024,ISP
J0944.2+5557,PowerLaw         ,1631.8885,4.2865474e-14,2.2401724,6.498817e-14,1.8492749,0.65575194,ISP
J0946.0+4735,PowerLaw         ,2990.7812,1.0668129e-14,2.135355,8.626792e-15,2.2242591,-0.097514585,ISP
J0952.8+0712,PowerLaw         ,3000.1687,1.9907456e-14,1.9850639,2.77331e-14,1.8927968,0.24912994,ISP
J0955.1+3551,PowerLaw         ,4047.2095,5.559533e-15,1.8932385,5.879029e-15,1.8794297,0.025108218,ISP
J0955.2+0835,PowerLaw         ,1504.9445,5.907551e-14,2.3313775,6.4266667e-14,2.2461045,0.07722064,ISP
