Source_Name,SpectrumType,Pivot_Energy,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,SED_class
J0238.7+2555,PowerLaw         ,5252.16,6.1617628e-15,1.9387773,5.6857442e-15,1.9777716,-0.039204292,HSP
J0241.3+6543,PowerLaw         ,3035.4768,1.091819e-13,2.1137252,1.1530525e-13,2.0863228,0.037833642,HSP
J0241.9-1603,PowerLaw         ,4389.8164,1.0344273e-14,1.8123796,1.2648222e-14,1.6061313,0.15580769,HSP
J0244.6-5819,PowerLaw         ,3911.92,3.684366e-14,1.7456913,4.022071e-14,1.6911279,0.04471958,HSP
J0250.6+1712,PowerLaw         ,4242.7974,2.5180307e-14,1.8404547,2.7840186e-14,1.766266,0.059807148,HSP
J0250.7+5630,PowerLaw         ,4018.95,3.247513e-14,2.0599043,3.410784e-14,2.0327091,0.033917483,HSP
J0257.0+3358,PowerLaw         ,3494.6685,1.2788223e-14,2.0120697,1.6213676e-14,1.9243969,0.15844643,HSP
J0259.4+0308,PowerLaw         ,10188.796,1.1166134e-15,1.67947,1.3412046e-15,1.4943199,0.13850749,HSP
J0303.3+0555,PowerLaw         ,11118.537,1.2127672e-15,1.6874561,1.3749383e-15,1.562493,0.08518876,HSP
J0303.4-2407,LogParabola      ,945.1168,5.1343743e-12,1.910174,5.310245e-12,1.8485527,0.031261194,HSP
J0304.4-2833,PowerLaw         ,5236.2324,6.3301343e-15,1.7270447,9.8239525e-15,1.2086502,0.48686516,HSP
J0304.5-0054,PowerLaw         ,2833.8882,2.3776903e-14,2.048788,2.4189623e-14,2.0433638,0.008250266,HSP
J0305.1-1608,PowerLaw         ,4982.654,1.1340723e-14,1.7855884,1.2545332e-14,1.718825,0.0589456,HSP
J0308.1-2852,PowerLaw         ,2180.9749,3.277057e-14,2.0842414,3.66895e-14,2.0075064,0.081537865,HSP
J0309.7-0745,PowerLaw         ,2819.8923,3.961722e-14,1.9761335,4.5031517e-14,1.8710077,0.09222376,HSP
J0310.6-5017,PowerLaw         ,3782.068,2.63572e-14,1.8092242,2.8759706e-14,1.7542602,0.04932776,HSP
J0311.5-4402,PowerLaw         ,1973.1084,3.0025732e-14,2.1710865,2.7436839e-14,2.1800337,-0.04886693,HSP
J0312.4-3221,PowerLaw         ,2247.8384,2.1220339e-14,2.0999925,2.7372256e-14,1.805578,0.2795761,HSP
J0312.5-2221,PowerLaw         ,2982.746,3.96386e-14,1.8571757,4.9606864e-14,1.6675308,0.16622438,HSP
J0314.3+0620,PowerLaw         ,4462.396,1.6377446e-14,1.8985955,1.9231671e-14,1.7768862,0.1133172,HSP
J0316.2-6437,LogParabola      ,2565.924,7.6095116e-14,1.7926747,8.727209e-14,1.59003,0.11711349,HSP
J0316.2-2608,PowerLaw         ,2644.4846,7.787792e-14,1.8743906,9.057951e-14,1.7742563,0.0979378,HSP
J0317.8-4414,PowerLaw         ,6205.731,2.4821356e-15,1.8277442,2.402032e-15,1.8394688,-0.014681218,HSP
J0319.8+1845,PowerLaw         ,6216.2944,1.3562524e-14,1.6630195,1.5412427e-14,1.6168257,0.0541016,HSP
J0320.6+1125,PowerLaw         ,3533.5012,1.6899495e-14,2.157082,1.5474953e-14,2.1902483,-0.041493062,HSP
J0322.0+2335,PowerLaw         ,2368.2185,2.5305485e-13,1.9860871,2.586717e-13,1.9697069,0.013425519,HSP
J0323.7-0111,PowerLaw         ,2763.2053,9.8736354e-14,1.8966516,1.1462004e-13,1.8102885,0.09815384,HSP
J0324.8+3412,PowerLaw         ,464.158,1.2998141e-11,2.8179884,1.4013201e-11,2.8120904,0.057676226,HSP
J0325.5-5635,PowerLaw         ,2368.8438,9.1926744e-14,1.9475634,9.7786633e-14,1.9062239,0.037127137,HSP
J0325.6-1646,PowerLaw         ,2719.088,1.3739898e-13,1.861475,1.496811e-13,1.8022795,0.051939048,HSP
J0326.2+0225,PowerLaw         ,3232.1138,7.126787e-14,1.8823535,7.4955924e-14,1.8499334,0.028825963,HSP
J0326.7-3404,PowerLaw         ,1983.6459,5.189334e-14,2.0573575,6.606684e-14,1.8989683,0.19655657,HSP
J0328.8-5715,PowerLaw         ,8549.478,1.4123885e-15,1.6706516,2.3372123e-15,1.0666122,0.54978174,HSP
J0331.3-6156,PowerLaw         ,1970.6235,1.8500764e-13,2.0047066,2.0424043e-13,1.9429648,0.064482376,HSP
J0331.8-7040,PowerLaw         ,12386.911,5.740654e-16,1.6060151,7.494996e-16,0.23568276,0.8109876,HSP
J0333.7+2916,LogParabola      ,1965.573,3.6721597e-13,1.9727132,4.1068895e-13,1.8335195,0.096946515,HSP
J0335.1-4459,PowerLaw         ,2172.6863,9.020486e-14,1.9812921,9.001783e-14,1.9825598,-0.001136789,HSP
J0336.5-0348,PowerLaw         ,10103.6045,1.5065098e-15,1.634396,1.5429377e-15,1.6202202,0.01210506,HSP
J0338.1-2443,PowerLaw         ,7907.202,1.9317495e-15,1.7325636,2.168553e-15,1.7148838,0.050512254,HSP
J0338.5+1302,LogParabola      ,3451.4866,1.3134644e-13,1.7676449,1.6291448e-13,1.5360831,0.16501388,HSP
J0338.7-5706,PowerLaw         ,9205.426,8.7928574e-16,1.6873047,9.330157e-16,1.6814005,0.02239669,HSP
J0339.2-1736,PowerLaw         ,2647.2996,9.7639954e-14,1.9308991,1.04225764e-13,1.8995746,0.034857225,HSP
J0349.4-1159,PowerLaw         ,4820.6025,1.4967496e-14,1.758454,1.6531833e-14,1.645829,0.064733475,HSP
J0350.8-2814,PowerLaw         ,8555.566,2.0904364e-15,1.7064273,2.2796308e-15,1.6511955,0.047662657,HSP
J0353.0+5654,PowerLaw         ,3672.8704,3.0060898e-14,2.0827777,3.3854047e-14,2.0330856,0.08477882,HSP
J0353.0-6831,PowerLaw         ,7875.765,5.2333816e-15,1.6694659,5.525825e-15,1.6362385,0.027075645,HSP
J0353.7+8257,PowerLaw         ,7429.4976,3.0134739e-15,1.6954374,3.3684224e-15,1.6574422,0.04814228,HSP
J0359.0-3053,PowerLaw         ,3101.3857,2.0492985e-14,1.9283414,2.308926e-14,1.847098,0.074368164,HSP
J0416.9+0105,PowerLaw         ,3730.7185,4.6546737e-14,1.8760538,4.5582695e-14,1.8878043,-0.010853299,HSP
J0431.8+7403,PowerLaw         ,2972.987,5.2177572e-14,1.9771323,5.5759627e-14,1.9323922,0.04144601,HSP
J0433.1+3227,PowerLaw         ,5587.5103,1.2364311e-14,1.8911694,1.3107072e-14,1.8381215,0.042674616,HSP
J0433.5-1039,PowerLaw         ,1417.6406,8.359416e-14,2.3079703,9.116423e-14,2.2693884,0.060297407,HSP
J0435.4-2623,PowerLaw         ,1836.042,3.7474452e-14,2.246443,3.6400692e-14,2.26625,-0.018264014,HSP
J0439.4-3202,PowerLaw         ,2887.5393,3.3540506e-14,1.9447147,3.4065595e-14,1.9341428,0.008403932,HSP
J0441.5+1505,PowerLaw         ,5039.474,1.292363e-14,2.0345695,1.3073779e-14,2.029745,0.0053723766,HSP
J0448.6-1632,PowerLaw         ,2431.1826,1.3246042e-13,1.9047438,1.4512981e-13,1.8401153,0.0566593,HSP
J0449.4-4350,LogParabola      ,1581.183,4.0157816e-12,1.8604484,4.279268e-12,1.7497208,0.061868787,HSP
J0452.0+2100,PowerLaw         ,11513.149,1.1251968e-15,1.6409409,1.4521838e-15,1.582468,0.12159954,HSP
J0502.9+6533,PowerLaw         ,9119.238,1.8198209e-15,1.729152,2.085718e-15,1.6378878,0.08311847,HSP
J0503.6+4518,PowerLaw         ,4282.2075,3.439187e-14,2.003722,3.9615528e-14,1.9100546,0.109128155,HSP
J0505.6+0415,PowerLaw         ,4433.8,2.9128115e-14,1.9415581,3.155656e-14,1.8754348,0.055040535,HSP
